國字,審定音
上,ㄕㄤˇ;ㄕㄤˋ
万,ㄇㄛˋ;ㄨㄢˋ 
不,ㄅㄨˋ;ㄈㄡ;ㄈㄨ
中,ㄓㄨㄥ;ㄓㄨㄥˋ
乘,ㄔㄥˊ;ㄕㄥˋ
乾,ㄍㄢ;ㄑ丨ㄢˊ
了,˙ㄌㄜ;ㄌ丨ㄠˇ
予,ㄩˊ;ㄩˇ
些,ㄒ丨ㄝ;ㄙㄨㄛˋ;ㄙㄨㄛ
亟,ㄐ丨ˊ;ㄑ丨ˋ
亢,ㄍㄤ;ㄎㄤˋ 
什,ㄕˊ;ㄕㄣˊ
仆,ㄆㄨ;ㄆㄨˊ
仇,ㄑ丨ㄡˊ;ㄔㄡˊ
仔,ㄗˇ;ㄗㄞˇ
任,ㄖㄣˊ;ㄖㄣˋ
佗,ㄊㄨㄛˊ;ㄊㄚ
佛,ㄅ丨ˋ;ㄈㄛˊ
估,ㄍㄨ;ㄍㄨˋ
伽,ㄐ丨ㄚ;ㄑ丨ㄝˊ
伺,ㄘˋ;ㄙˋ
佃,ㄉ丨ㄢˋ;ㄊ丨ㄢˊ
作,ㄗㄨㄛˊ;ㄗㄨㄛˋ
余,ㄩˊ;ㄒㄩˊ
供,ㄍㄨㄥ;ㄍㄨㄥˋ
便,ㄅ丨ㄢˋ;ㄆ丨ㄢˊ
俟,ㄑ丨ˊ;ㄙˋ
俛,ㄇ丨ㄢˇ;ㄈㄨˇ
倥,ㄎㄨㄥ;ㄎㄨㄥˇ
倆,ㄌ丨ㄚˇ;ㄌ丨ㄤˇ
倒,ㄉㄠˇ;ㄉㄠˋ
們,ㄇㄣˊ;˙ㄇㄣ
倔,ㄐㄩㄝˊ;ㄐㄩㄝˋ
倡,ㄔㄤ;ㄔㄤˋ
個,ㄍㄜˋ;ㄍㄜˇ
偺,ㄗㄚˊ;ㄗㄢˊ
假,ㄐ丨ㄚˇ;ㄐ丨ㄚˋ
偕,ㄒ丨ㄝˊ;ㄐ丨ㄝ
傍,ㄅㄤ;ㄅㄤˋ
傀,ㄍㄨㄟ;ㄎㄨㄟˇ
傌,ㄇㄚˇ;ㄇㄚˋ
傳,ㄓㄨㄢˋ;ㄔㄨㄢˊ
僮,ㄊㄨㄥˊ;ㄓㄨㄤˋ
僥,ㄐ丨ㄠˇ;丨ㄠˊ
價,˙ㄍㄚ;ㄐ丨ㄚˋ
兌,ㄉㄨㄟˋ;ㄩㄝˋ
兒,ㄋ丨ˊ;ㄦˊ
六,ㄌ丨ㄡˋ;ㄌㄨˋ
共,ㄍㄨㄥ;ㄍㄨㄥˋ
其,ㄐ丨;ㄑ丨ˊ
冒,ㄇㄠˋ;ㄇㄛˋ
冠,ㄍㄨㄢ;ㄍㄨㄢˋ
几,ㄐ丨 ;ㄐ丨ˇ
分,ㄈㄣ;ㄈㄣˋ
切,ㄑ丨ㄝ;ㄑ丨ㄝˋ
刨,ㄅㄠˋ;ㄆㄠˊ
剎,ㄔㄚˋ;ㄕㄚ
削,ㄒ丨ㄠ;ㄒㄩㄝˋ
剌,ㄌㄚˊ;ㄌㄚˋ
剡,ㄕㄢˋ;丨ㄢˇ
創,ㄔㄨㄤ;ㄔㄨㄤˋ
劃,ㄏㄨㄚˊ;ㄏㄨㄚˋ
勒,ㄌㄜˋ;ㄌㄟ
勞,ㄌㄠˊ;ㄌㄠˋ
勝,ㄕㄥ;ㄕㄥˋ
勦,ㄐ丨ㄠˇ;ㄔㄠ
勺,ㄓㄨㄛˊ;ㄕㄠˊ
勾,ㄍㄡ;ㄍㄡˋ
包,ㄅㄠ;ㄆㄠˋ
化,ㄏㄨㄚˋ;ㄏㄨㄚ
匙,ㄔˊ;˙ㄕ
匱,ㄍㄨㄟˋ;ㄎㄨㄟˋ
匹,ㄆ丨;ㄆ丨ˇ
區,ㄑㄩ;ㄡ
卒,ㄗㄨˊ;ㄘㄨˋ
南,ㄋㄢˊ;ㄋㄚˊ
占,ㄓㄢ;ㄓㄢˋ
卷,ㄐㄩㄢˇ;ㄐㄩㄢˋ;ㄑㄩㄢˊ
厭,丨ㄢˋ;丨ㄢ
參,ㄕㄣ;ㄘㄢ;ㄘㄣ
可,ㄎㄜˇ;ㄎㄜˋ
召,ㄓㄠˋ;ㄕㄠˋ
叨,ㄉㄠ;ㄊㄠ
台,丨ˊ;ㄊㄞˊ
句,ㄍㄡ;ㄐㄩˋ;ㄍㄡˋ
同,ㄊㄨㄥˊ;ㄊㄨㄥˋ
吐,ㄊㄨˇ;ㄊㄨˋ
合,ㄍㄜˇ;ㄏㄜˊ
吃,ㄐ丨ˊ;ㄔ
吭,ㄎㄥ;ㄏㄤˊ
否,ㄆ丨ˇ;ㄈㄡˇ
吧,ㄅㄚ;˙ㄅㄚ
告,ㄍㄠˋ;ㄍㄨˋ
呀,ㄒ丨ㄚ;丨ㄚ;˙丨ㄚ
呵,ㄏㄜ;ㄛ
呱,ㄍㄨㄚ;ㄨㄚ
和,ㄏㄜˊ;ㄏㄜˋ;ㄏㄢˋ;ㄏㄨㄛˋ;˙ㄏㄨㄛ;ㄏㄨˊ
呢,˙ㄋㄜ;ㄋ丨ˊ
咎,ㄍㄠ;ㄐ丨ㄡˋ
咳,ㄎㄜˊ;ㄏㄞ
哇,ㄨㄚ;˙ㄨㄚ
咽,丨ㄝˋ;丨ㄢ
哄,ㄏㄨㄥ;ㄏㄨㄥˇ
哈,ㄎㄚ;ㄏㄚ;ㄏㄚˇ
咯,˙ㄌㄛ;ㄍㄜ;ㄎㄚˇ
咱,ㄗㄢˊ;ㄗㄚˊ
咻,ㄒ丨ㄡ;ㄒㄩˇ
哆,ㄉㄨㄛ;ㄔㄜˇ 
哩,ㄌ丨;ㄌ丨ˇ;˙ㄌ丨
員,ㄩㄢˊ;ㄩㄣˊ
哪,ㄋㄚˇ;˙ㄋㄚ;ㄋㄨㄛˊ
哦,ㄛˊ;ㄜˊ
唇,ㄓㄣ;ㄔㄨㄣˊ 
啦,ㄌㄚ;˙ㄌㄚ
啞,丨ㄚ;丨ㄚˇ
啊,ㄚ;˙ㄚ
喝,ㄏㄜ;ㄏㄜˋ
喪,ㄙㄤ;ㄙㄤˋ
喔,ㄛ;ㄨㄛˋ
單,ㄉㄢ;ㄕㄢˋ;ㄔㄢˊ
喏,ㄋㄨㄛˋ;ㄖㄜˇ
喒,ㄗㄚˊ;ㄗㄢˊ
嗎,ㄇㄚˇ;˙ㄇㄚ
嗑,ㄎㄜˋ;ㄏㄜˊ
嗒,ㄉㄚ;ㄊㄚˋ
嘛,ㄇㄚˊ;˙ㄇㄚ
嘔,ㄡ;ㄡˇ;ㄡˋ
嘍,ㄌㄡˊ;˙ㄌㄡ
嘩,ㄏㄨㄚ;ㄏㄨㄚˊ
噴,ㄆㄣ;ㄆㄣˋ
噹,ㄉㄤ;ㄉ丨ㄤ
噱,ㄐㄩㄝˊ;ㄒㄩㄝ
噭,ㄐ丨ㄠˋ;ㄑ丨ㄠˋ
嚇,ㄏㄜˋ;ㄒ丨ㄚˋ
嚼,ㄐ丨ㄠˊ;ㄐㄩㄝˊ
囉,ㄌㄨㄛ;ㄌㄨㄛˊ;˙ㄌㄨㄛ
囪,ㄔㄨㄤ;ㄘㄨㄥ
囤,ㄉㄨㄣˋ;ㄊㄨㄣˊ
圈,ㄐㄩㄢˋ;ㄑㄩㄢ
圳,ㄗㄨㄣˋ;ㄓㄣˋ
地,˙ㄉㄜ;ㄉ丨ˋ
坊,ㄈㄤ;ㄈㄤˊ
坏,ㄆㄟ;ㄏㄨㄞˋ
坻,ㄉ丨ˇ ;ㄔˊ
垛,ㄉㄨㄛˇ;ㄉㄨㄛˋ 
埋,ㄇㄞˊ;ㄇㄢˊ
埤,ㄅ丨ˋ;ㄆ丨ˊ
培,ㄆㄟˊ;ㄆㄡˇ
埶,ㄕˋ;丨ˋ 
塞,ㄙㄜˋ;ㄙㄞ;ㄙㄞˋ
壘,ㄌㄟˇ;ㄌㄩˋ
夏,ㄐ丨ㄚˇ;ㄒ丨ㄚˋ
大,ㄉㄚˋ;ㄉㄞˋ
夫,ㄈㄨ;ㄈㄨˊ
奇,ㄐ丨;ㄑ丨ˊ
奄,丨ㄢ;丨ㄢˇ
契,ㄑ丨ˋ;ㄒ丨ㄝˋ
女,ㄋㄩˇ;ㄋㄩˋ
好,ㄏㄠˇ;ㄏㄠˋ
妻,ㄑ丨;ㄑ丨ˋ
委,ㄨㄟˇ;ㄨㄟ
姊,ㄐ丨ㄝˇ;ㄗˇ
妳,ㄋ丨ˇ;ㄋㄞˇ
姣,ㄐ丨ㄠˇ;ㄒ丨ㄠˊ
姥,ㄇㄨˇ;ㄌㄠˇ
娜,ㄋㄚˋ;ㄋㄨㄛˊ
娩,ㄇ丨ㄢˇ;ㄨㄢˇ
嫖,ㄆ丨ㄠ;ㄆ丨ㄠˊ
子,ㄗˇ;˙ㄗ
宛,ㄨㄢˇ;ㄩㄢ
家,ㄍㄨ;ㄐ丨ㄚ
宿,ㄒ丨ㄡˇ;ㄒ丨ㄡˋ;ㄙㄨˋ
寧,ㄋ丨ㄥˊ;ㄋ丨ㄥˋ
射,ㄕㄜˋ;丨ㄝˋ
尉,ㄨㄟˋ;ㄩˋ
將,ㄐ丨ㄤ;ㄐ丨ㄤˋ;ㄑ丨ㄤ
少,ㄕㄠˇ;ㄕㄠˋ
尺,ㄔˇ;ㄔㄜˇ
屏,ㄅ丨ㄥˇ;ㄆ丨ㄥˊ
屬,ㄓㄨˇ;ㄕㄨˇ
屯,ㄊㄨㄣˊ;ㄓㄨㄣ;ㄔㄨㄣˊ
峒,ㄉㄨㄥˋ;ㄊㄨㄥˊ
崗,ㄍㄤ;ㄍㄤˇ
嵌,ㄎㄢˇ;ㄑ丨ㄢ
差,ㄔㄚ;ㄔㄞ;ㄘ;ㄘㄨㄛ
平,ㄅ丨ㄢˋ;ㄆ丨ㄥˊ
并,ㄅ丨ㄥ;ㄅ丨ㄥˋ
幾,ㄐ丨;ㄐ丨ˇ
度,ㄉㄨˋ;ㄉㄨㄛˋ
弁,ㄅ丨ㄢˋ;ㄆㄢˊ
弄,ㄋㄨㄥˋ;ㄌㄨㄥˋ
弟,ㄉ丨ˋ;ㄊ丨ˋ
強,ㄐ丨ㄤˋ;ㄑ丨ㄤˊ;ㄑ丨ㄤˇ
彈,ㄉㄢˋ;ㄊㄢˊ
彊,ㄑ丨ㄤˊ;ㄑ丨ㄤˇ;ㄐ丨ㄤˋ
彷,ㄆㄤˊ;ㄈㄤˇ
待,ㄉㄞ;ㄉㄞˋ
得,ㄉㄜˊ;˙ㄉㄜ;ㄉㄟˇ
從,ㄗㄨㄥˋ;ㄘㄨㄥˊ;ㄗㄨㄥ;ㄘㄨㄥ
徵,ㄓㄥ;ㄓˇ
徼,ㄐ丨ㄠ;ㄐ丨ㄠˇ;ㄐ丨ㄠˋ
忪,ㄓㄨㄥ;ㄙㄨㄥ 
怔,ㄌㄥˋ;ㄓㄥ
怜,ㄌ丨ㄥˊ;ㄌ丨ㄢˊ
思,ㄙ;ㄙㄞ
恫,ㄉㄨㄥˋ;ㄊㄨㄥ
惡,ㄜˋ;ㄨ;ㄨˋ
悶,ㄇㄣ;ㄇㄣˋ
愒,ㄎㄞˋ;ㄑ丨ˋ 
應,丨ㄥ;丨ㄥˋ
戲,ㄒ丨ˋ;ㄏㄨ
扁,ㄅ丨ㄢˇ;ㄆ丨ㄢ
扇,ㄕㄢ;ㄕㄢˋ
扎,ㄓㄚ;ㄓㄚˊ
扒,ㄅㄚ;ㄆㄚˊ
扛,ㄍㄤ;ㄎㄤˊ
把,ㄅㄚˇ;ㄅㄚˋ
折,ㄓㄜ;ㄓㄜˊ;ㄕㄜˊ
抓,ㄓㄨㄚ;ㄔㄨㄚˇ
抹,ㄇㄛˇ;ㄇㄛˋ
拓,ㄊㄚˋ;ㄊㄨㄛˋ
拗,ㄋ丨ㄡˋ;ㄠ;ㄠˇ;ㄠˋ
括,ㄍㄨㄚ;ㄎㄨㄛˋ
拾,ㄕˊ;ㄕㄜˋ
挑,ㄊ丨ㄠ;ㄊ丨ㄠˇ
捎,ㄕㄠ;ㄕㄠˋ
捋,ㄌㄜˋ;ㄌㄨㄛ;ㄌㄩˇ 
掖,丨ㄝ;丨ㄝˋ
掃,ㄙㄠˇ;ㄙㄠˋ
掄,ㄌㄨㄣ;ㄌㄨㄣˊ
掙,ㄓㄥ;ㄓㄥˋ
据,ㄐㄩ;ㄐㄩˋ
揭,ㄐ丨ㄝ;ㄑ丨ˋ
搶,ㄑ丨ㄤ;ㄑ丨ㄤˇ
撇,ㄆ丨ㄝ;ㄆ丨ㄝˇ
摟,ㄌㄡ;ㄌㄡˊ;ㄌㄡˇ
摻,ㄔㄢ;ㄕㄢˇ;ㄘㄢˋ 
撈,ㄌㄠ;ㄌㄠˊ
撕,ㄙ;ㄒ丨
撒,ㄙㄚ;ㄙㄚˇ
撣,ㄉㄢˇ;ㄕㄢˋ 
擋,ㄉㄤˇ;ㄉㄤˋ
擔,ㄉㄢ;ㄉㄢˋ
擰,ㄋ丨ㄥˇ;ㄋ丨ㄥˋ
攝,ㄋ丨ㄝˋ;ㄕㄜˋ
攢,ㄗㄢˇ ;ㄘㄨㄢˊ
放,ㄈㄤˇ;ㄈㄤˋ
教,ㄐ丨ㄠ;ㄐ丨ㄠˋ
敦,ㄉㄨㄟˋ;ㄉㄨㄣ
散,ㄙㄢˇ;ㄙㄢˋ
數,ㄕㄨˇ;ㄕㄨˋ;ㄕㄨㄛˋ;ㄘㄨˋ
斁,ㄉㄨˋ;丨ˋ 
文,ㄨㄣˊ;ㄨㄣˋ
於,ㄨ;ㄩˊ
施,ㄕ;丨ˊ
旋,ㄒㄩㄢˊ;ㄒㄩㄢˋ
日,ㄖˋ;ㄇ丨ˋ
昆,ㄎㄨㄣ;ㄏㄨㄣˊ
昳,ㄉ丨ㄝˊ;丨ˋ 
晃,ㄏㄨㄤˇ;ㄏㄨㄤˋ
晟,ㄔㄥˊ;ㄕㄥˋ 
暈,ㄩㄣ;ㄩㄣˋ
暖,ㄋㄨㄢˇ;ㄒㄩㄢ
暴,ㄅㄠˋ;ㄆㄨˋ
曲,ㄑㄩ;ㄑㄩˇ
更,ㄍㄥ;ㄍㄥˋ
曾,ㄗㄥ;ㄘㄥˊ
會,ㄍㄨㄟˋ;ㄎㄨㄞˋ;ㄏㄨㄟˋ;ㄏㄨㄟˇ
有,丨ㄡˇ;丨ㄡˋ
期,ㄐ丨;ㄑ丨ˊ
朝,ㄓㄠ;ㄔㄠˊ
朴,ㄆㄛˋ;ㄆㄨˊ
杓,ㄅ丨ㄠ;ㄕㄠˊ 
枕,ㄓㄣˇ;ㄓㄣˋ
枓,ㄉㄡˇ;ㄓㄨˇ
某,ㄇㄟˊ;ㄇㄡˇ
查,ㄓㄚ;ㄔㄚˊ
枸,ㄍㄡ;ㄍㄡˇ;ㄐㄩˇ
柞,ㄗㄜˊ;ㄗㄨㄛˋ
校,ㄐ丨ㄠˋ;ㄒ丨ㄠˋ
桔,ㄐ丨ㄝˊ;ㄐㄩˊ
棹,ㄓㄠˋ;ㄓㄨㄛ
棲,ㄑ丨;ㄒ丨
椎,ㄓㄨㄟ;ㄔㄨㄟˊ
楞,ㄌㄥˊ;ㄌㄥˋ
榜,ㄅㄤˇ;ㄅㄥˋ
槍,ㄑ丨ㄤ;ㄔㄥ
榦,ㄍㄢˋ;ㄏㄢˊ 
樂,ㄌㄜˋ;丨ㄠˋ;ㄩㄝˋ
橫,ㄏㄥˊ;ㄏㄥˋ
檐,丨ㄢˊ;ㄉㄢˋ
